Code,Date,Open,High,Low,Close,Volume
ZEEL,2016-08-16 09:15:00, 500.25, 503.2, 500.15, 500.15, 27830
ZEEL,2016-08-16 09:16:00, 500.75, 501, 499.3, 499.4, 22339
ZEEL,2016-08-16 09:17:00, 499.75, 500.55, 499.45, 499.45, 7816
ZEEL,2016-08-16 09:18:00, 499.55, 500.4, 499.45, 500, 5895
ZEEL,2016-08-16 09:19:00, 500.1, 500.45, 499.7, 500.05, 6005
ZEEL,2016-08-16 09:20:00, 500, 500.75, 500, 500.45, 9735
ZEEL,2016-08-16 09:21:00, 500.45, 501.5, 500.45, 501.2, 8335
ZEEL,2016-08-16 09:22:00, 501.2, 501.65, 501, 501.65, 3532
ZEEL,2016-08-16 09:23:00, 501.4, 501.65, 501, 501.2, 1560
ZEEL,2016-08-16 09:24:00, 501.2, 501.7, 501.2, 501.7, 1904
ZEEL,2016-08-16 09:25:00, 501.7, 501.75, 500.75, 500.75, 2601
ZEEL,2016-08-16 09:26:00, 501, 502, 501, 501.9, 1890
ZEEL,2016-08-16 09:27:00, 501.9, 502.2, 501.9, 502.15, 1289
ZEEL,2016-08-16 09:28:00, 502.2, 502.6, 502.15, 502.5, 1598
ZEEL,2016-08-16 09:29:00, 502.75, 502.9, 502.7, 502.9, 1355
ZEEL,2016-08-16 09:30:00, 502.9, 503.8, 502.9, 503.8, 4814
ZEEL,2016-08-16 09:31:00, 503.8, 504.05, 503.55, 503.8, 2130
ZEEL,2016-08-16 09:32:00, 503.8, 503.85, 503.65, 503.8, 1164
ZEEL,2016-08-16 09:33:00, 503.8, 503.8, 502.75, 503, 4204
ZEEL,2016-08-16 09:34:00, 503, 503.05, 502.95, 503.05, 370
ZEEL,2016-08-16 09:35:00, 503.05, 503.05, 502.85, 502.85, 1505
ZEEL,2016-08-16 09:36:00, 502.85, 503, 502.35, 502.4, 2232
ZEEL,2016-08-16 09:37:00, 502.4, 502.65, 502.35, 502.55, 1717
ZEEL,2016-08-16 09:38:00, 502.55, 503, 502.55, 503, 2026
ZEEL,2016-08-16 09:39:00, 503, 503.25, 503, 503.25, 1166
ZEEL,2016-08-16 09:40:00, 503.25, 503.5, 502.85, 503.35, 2106
ZEEL,2016-08-16 09:41:00, 503.35, 503.7, 503.35, 503.7, 1046
ZEEL,2016-08-16 09:42:00, 503.8, 503.95, 503.8, 503.95, 1204
ZEEL,2016-08-16 09:43:00, 504, 504.15, 503.95, 504, 910
ZEEL,2016-08-16 09:44:00, 504, 504.75, 503.95, 504.55, 2651
ZEEL,2016-08-16 09:46:00, 504.3, 504.45, 504.1, 504.4, 2582
ZEEL,2016-08-16 09:45:00, 504.55, 504.55, 504.25, 504.3, 1797
ZEEL,2016-08-16 09:47:00, 504.4, 504.5, 504.4, 504.5, 899
ZEEL,2016-08-16 09:48:00, 504.5, 504.75, 504.45, 504.75, 1343
ZEEL,2016-08-16 09:49:00, 504.75, 504.8, 504.7, 504.8, 1685
ZEEL,2016-08-16 09:50:00, 504.8, 504.95, 504.75, 504.8, 2522
ZEEL,2016-08-16 09:51:00, 504.8, 504.9, 504.75, 504.9, 1242
ZEEL,2016-08-16 09:52:00, 504.95, 504.95, 504.85, 504.9, 1191
ZEEL,2016-08-16 09:53:00, 504.8, 504.85, 504.6, 504.75, 2248
ZEEL,2016-08-16 09:55:00, 504.7, 504.75, 504, 504.2, 2975
ZEEL,2016-08-16 09:54:00, 504.75, 504.85, 504.7, 504.8, 2103
ZEEL,2016-08-16 09:56:00, 504.2, 504.35, 504.05, 504.25, 1046
ZEEL,2016-08-16 09:57:00, 504.25, 504.3, 503.75, 503.9, 2215
ZEEL,2016-08-16 09:58:00, 503.9, 504.1, 503.9, 504.1, 705
ZEEL,2016-08-16 09:59:00, 504.15, 504.25, 503.65, 504, 2787
ZEEL,2016-08-16 10:00:00, 504, 504, 503.85, 504, 1117
ZEEL,2016-08-16 10:01:00, 504, 504, 503.65, 503.65, 1752
ZEEL,2016-08-16 10:02:00, 503.85, 504, 503.6, 503.6, 2276
ZEEL,2016-08-16 10:03:00, 503.6, 504.2, 503.55, 504.1, 1999
ZEEL,2016-08-16 10:04:00, 504.1, 504.1, 504, 504, 868
ZEEL,2016-08-16 10:05:00, 504.1, 504.1, 504, 504.05, 437
ZEEL,2016-08-16 10:06:00, 504.05, 504.1, 504.05, 504.1, 690
ZEEL,2016-08-16 10:07:00, 504.05, 504.1, 504.05, 504.1, 1566
ZEEL,2016-08-16 10:08:00, 504.05, 504.15, 503.95, 504.1, 3354
ZEEL,2016-08-16 10:09:00, 504.1, 504.25, 504.1, 504.15, 2651
ZEEL,2016-08-16 10:10:00, 504.15, 504.9, 503.95, 504.7, 6580
ZEEL,2016-08-16 10:11:00, 504.9, 504.9, 504.75, 504.85, 1089
ZEEL,2016-08-16 10:12:00, 504.9, 505.6, 504.9, 505.2, 16991
ZEEL,2016-08-16 10:14:00, 505.15, 505.45, 505, 505.1, 3755
ZEEL,2016-08-16 10:13:00, 505.2, 505.25, 504.95, 505.15, 3583
ZEEL,2016-08-16 10:15:00, 505.1, 505.15, 505, 505.15, 1707
ZEEL,2016-08-16 10:16:00, 505.15, 505.15, 504.9, 505.05, 1462
ZEEL,2016-08-16 10:17:00, 505.05, 505.2, 505, 505.05, 1543
ZEEL,2016-08-16 10:18:00, 505.05, 505.1, 504.85, 505.1, 1170
ZEEL,2016-08-16 10:19:00, 505.05, 505.1, 505.05, 505.1, 724
ZEEL,2016-08-16 10:20:00, 505.1, 505.1, 505.05, 505.05, 1601
ZEEL,2016-08-16 10:21:00, 505.05, 505.1, 505.05, 505.1, 1408
ZEEL,2016-08-16 10:22:00, 505.1, 505.1, 505.05, 505.1, 639
ZEEL,2016-08-16 10:23:00, 505.1, 505.1, 504.85, 504.95, 3296
ZEEL,2016-08-16 10:24:00, 504.95, 504.95, 504.85, 504.85, 1520
ZEEL,2016-08-16 10:25:00, 504.9, 504.9, 504.85, 504.9, 717
ZEEL,2016-08-16 10:26:00, 504.9, 504.9, 504.85, 504.9, 2809
ZEEL,2016-08-16 10:27:00, 504.95, 504.95, 504.9, 504.95, 5783
ZEEL,2016-08-16 10:28:00, 504.95, 505, 504.95, 505, 1032
ZEEL,2016-08-16 10:29:00, 505, 505, 504.2, 504.2, 4985
ZEEL,2016-08-16 10:30:00, 504.2, 504.25, 503.75, 504.2, 2082
