instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
12378626,48354,NIFTY17JAN8300PE,,31.0,2017-01-25,8300.0,0.05,75,PE,NFO-OPT,NFO
12379138,48356,NIFTY17JAN8350PE,,42.2,2017-01-25,8350.0,0.05,75,PE,NFO-OPT,NFO
12379394,48357,NIFTY17JAN8400CE,,75.2,2017-01-25,8400.0,0.05,75,CE,NFO-OPT,NFO
12382722,48370,NIFTY17JAN8600PE,,190.5,2017-01-25,8600.0,0.05,75,PE,NFO-OPT,NFO
22124290,86423,LUPIN17FEB1950CE,,0.25,2017-02-23,1950.0,0.05,400,CE,NFO-OPT,NFO
22124546,86424,LUPIN17FEB1950PE,,439.5,2017-02-23,1950.0,0.05,400,PE,NFO-OPT,NFO
22536962,88035,ONGC17JAN163.35PE,,0.05,2017-01-25,163.35,0.05,3750,PE,NFO-OPT,NFO
24026370,93853,PETRONET17FEB510CE,,0.1,2017-02-23,510.0,0.05,1500,CE,NFO-OPT,NFO
14770434,57697,EXIDEIND17JAN145PE,,0.05,2017-01-25,145.0,0.05,4000,PE,NFO-OPT,NFO
25502210,99618,VEDL17FEB265PE,,30.15,2017-02-23,265.0,0.05,3500,PE,NFO-OPT,NFO
12382978,48371,NIFTY17JAN8650CE,,4.8,2017-01-25,8650.0,0.05,75,CE,NFO-OPT,NFO
9222402,36025,ENGINERSIN17JAN205CE,,0.05,2017-01-25,205.0,0.05,7000,CE,NFO-OPT,NFO
12389378,48396,NIFTY17JAN9200PE,,773.35,2017-01-25,9200.0,0.05,75,PE,NFO-OPT,NFO
17845506,69709,L&TFH17JAN145CE,,0.05,2017-01-25,145.0,0.05,9000,CE,NFO-OPT,NFO
12383234,48372,NIFTY17JAN8650PE,,230.3,2017-01-25,8650.0,0.05,75,PE,NFO-OPT,NFO
12401154,48442,NIFTY17JAN9900PE,,1478.75,2017-01-25,9900.0,0.05,75,PE,NFO-OPT,NFO
10964994,42832,PIDILITIND17FEB390PE,,0.05,2017-02-23,390.0,0.05,1000,PE,NFO-OPT,NFO
10966274,42837,SRTRANSFIN17JAN400CE,,556.15,2017-01-25,400.0,0.05,600,CE,NFO-OPT,NFO
12344066,48219,S&P50017JUN2255CE,,97.3,2017-06-16,2255.0,0.05,250,CE,NFO-OPT,NFO
12360194,48282,BANKNIFTY17JAN21000CE,,1.3,2017-01-25,21000.0,0.05,40,CE,NFO-OPT,NFO
12378882,48355,NIFTY17JAN8350CE,,106.0,2017-01-25,8350.0,0.05,75,CE,NFO-OPT,NFO
12401410,48443,NIFTY17JAN9950CE,,0.05,2017-01-25,9950.0,0.05,75,CE,NFO-OPT,NFO
18355714,71702,GRASIM17FEB890CE,,17.6,2017-02-23,890.0,0.05,750,CE,NFO-OPT,NFO
18355970,71703,GRASIM17FEB890PE,,54.95,2017-02-23,890.0,0.05,750,PE,NFO-OPT,NFO
22538242,88040,ONGC17JAN173.35CE,,28.35,2017-01-25,173.35,0.05,3750,CE,NFO-OPT,NFO
11482370,44853,ENGINERSIN17JAN225PE,,70.15,2017-01-25,225.0,0.05,7000,PE,NFO-OPT,NFO
12404738,48456,NIFTYINFRA17JAN2500PE,,0.05,2017-01-25,2500.0,0.05,225,PE,NFO-OPT,NFO
12401666,48444,NIFTY17JAN9950PE,,1528.65,2017-01-25,9950.0,0.05,75,PE,NFO-OPT,NFO
12414978,48496,NIFTYIT17JAN8800CE,,1482.1,2017-01-25,8800.0,0.05,50,CE,NFO-OPT,NFO
12401922,48445,NIFTY17JAN10000CE,,0.25,2017-01-25,10000.0,0.05,75,CE,NFO-OPT,NFO
25567234,99872,YESBANK17FEB920PE,,0.15,2017-02-23,920.0,0.05,700,PE,NFO-OPT,NFO
10972162,42860,SUNPHARMA17JAN420PE,,0.05,2017-01-25,420.0,0.05,700,PE,NFO-OPT,NFO
11482114,44852,ENGINERSIN17JAN225CE,,0.05,2017-01-25,225.0,0.05,7000,CE,NFO-OPT,NFO
9613570,37553,ENGINERSIN17JAN70PE,,0.05,2017-01-25,70.0,0.05,7000,PE,NFO-OPT,NFO
10195714,39827,ENGINERSIN17JAN215CE,,0.05,2017-01-25,215.0,0.05,7000,CE,NFO-OPT,NFO
12406786,48464,NIFTYINFRA17JAN2900CE,,28.75,2017-01-25,2900.0,0.05,225,CE,NFO-OPT,NFO
12406274,48462,NIFTYINFRA17JAN2800PE,,12.2,2017-01-25,2800.0,0.05,225,PE,NFO-OPT,NFO
10970882,42855,SUNPHARMA17JAN420CE,,233.75,2017-01-25,420.0,0.05,700,CE,NFO-OPT,NFO
12404994,48457,NIFTYINFRA17JAN2600CE,,275.5,2017-01-25,2600.0,0.05,225,CE,NFO-OPT,NFO
18374914,71777,HAVELLS17FEB330PE,,4.5,2017-02-23,330.0,0.05,2000,PE,NFO-OPT,NFO
18375170,71778,HAVELLS17FEB340CE,,40.9,2017-02-23,340.0,0.05,2000,CE,NFO-OPT,NFO
23743490,92748,MCLEODRUSS17FEB75PE,,0.05,2017-02-23,75.0,0.05,3000,PE,NFO-OPT,NFO
24035842,93890,PFC17FEB120PE,,1.25,2017-02-23,120.0,0.05,6000,PE,NFO-OPT,NFO
12407042,48465,NIFTYINFRA17JAN2900PE,,52.65,2017-01-25,2900.0,0.05,225,PE,NFO-OPT,NFO
12414722,48495,NIFTYIT17JAN8700PE,,0.05,2017-01-25,8700.0,0.05,50,PE,NFO-OPT,NFO
14771202,57700,EXIDEIND17JAN155CE,,27.4,2017-01-25,155.0,0.05,4000,CE,NFO-OPT,NFO
17192706,67159,COLPAL17FEB640CE,,263.9,2017-02-23,640.0,0.05,700,CE,NFO-OPT,NFO
18375426,71779,M&M17JAN1240CE,,11.35,2017-01-25,1240.0,0.05,500,CE,NFO-OPT,NFO
22537474,88037,ONGC17JAN166.65PE,,0.05,2017-01-25,166.65,0.05,3750,PE,NFO-OPT,NFO
22544898,88066,ONGC17JAN216.65CE,,0.3,2017-01-25,216.65,0.05,3750,CE,NFO-OPT,NFO
9827586,38389,ENGINERSIN17JAN65CE,,89.55,2017-01-25,65.0,0.05,7000,CE,NFO-OPT,NFO
11482626,44854,ENGINERSIN17FEB225CE,,0.35,2017-02-23,225.0,0.05,7000,CE,NFO-OPT,NFO
11607810,45343,BANKNIFTY17MAR16500CE,,2668.45,2017-03-30,16500.0,0.05,40,CE,NFO-OPT,NFO
11615490,45373,BANKNIFTY17MAR16500PE,,29.45,2017-03-30,16500.0,0.05,40,PE,NFO-OPT,NFO
11482882,44855,ENGINERSIN17FEB225PE,,69.3,2017-02-23,225.0,0.05,7000,PE,NFO-OPT,NFO
12415490,48498,NIFTYIT17JAN8900CE,,1382.35,2017-01-25,8900.0,0.05,50,CE,NFO-OPT,NFO
